Card Member,Age,Annual Income,Spending Score (1-100)
Yes,58.0,88000,15.0
Yes,27.0,88000,69.0
Yes,59.0,93000,14.0
Yes,35.0,93000,90.0
No,37.0,97000,32.0
No,32.0,97000,86.0
Yes,46.0,98000,15.0
No,29.0,98000,88.0
No,41.0,99000,39.0
Yes,30.0,99000,97.0
No,54.0,101000,24.0
Yes,28.0,101000,68.0
No,41.0,103000,17.0
No,36.0,103000,85.0
No,34.0,103000,23.0
No,32.0,103000,69.0
Yes,33.0,113000,8.0
No,38.0,113000,91.0
No,47.0,120000,16.0
No,35.0,120000,79.0
No,45.0,126000,28.0
Yes,32.0,126000,74.0
Yes,32.0,137000,18.0
Yes,30.0,137000,83.0
